iter	Passed	Remaining
0	7	142
1	11	105
2	16	93
3	21	85
4	26	79
5	31	73
6	36	68
7	40	60
8	44	54
9	49	49
10	54	44
11	59	39
12	64	34
13	67	28
14	72	24
15	77	19
16	81	14
17	85	9
18	88	4
19	91	0
