iter	Passed	Remaining
197	2737	11088
198	2750	11071
199	2763	11053
200	2776	11034
201	2787	11011
202	2799	10992
203	2810	10965
204	2822	10944
205	2833	10923
206	2837	10871
207	2847	10844
208	2859	10823
209	2872	10805
210	2887	10796
211	2902	10789
212	2915	10772
213	2927	10752
214	2940	10735
215	2953	10719
216	2965	10698
217	2967	10645
218	2979	10626
219	2992	10608
220	3003	10587
221	3016	10572
222	3030	10557
223	3041	10536
224	3053	10519
225	3066	10502
226	3080	10491
227	3095	10482
228	3109	10468
229	3121	10451
230	3134	10435
231	3147	10420
232	3159	10399
233	3171	10382
234	3182	10361
235	3195	10343
236	3206	10324
237	3218	10304
238	3230	10285
239	3242	10269
240	3254	10251
241	3267	10234
242	3277	10210
243	3289	10191
244	3300	10171
245	3313	10156
246	3327	10143
247	3340	10128
248	3353	10115
249	3359	10078
250	3372	10064
251	3385	10048
252	3397	10030
253	3409	10013
254	3422	9999
255	3434	9982
256	3447	9966
257	3458	9946
258	3470	9930
259	3482	9912
260	3495	9897
261	3508	9882
262	3520	9865
263	3533	9849
264	3545	9833
265	3557	9816
266	3569	9799
267	3582	9784
268	3594	9768
269	3607	9754
270	3619	9735
271	3630	9717
272	3642	9700
273	3653	9680
274	3665	9664
275	3677	9646
276	3690	9633
277	3702	9616
278	3717	9607
279	3731	9594
280	3743	9577
281	3755	9561
282	3768	9548
283	3781	9534
284	3793	9518
285	3807	9504
286	3818	9486
287	3825	9456
288	3836	9439
289	3847	9420
290	3858	9402
291	3870	9384
292	3882	9368
293	3895	9355
294	3909	9343
295	3921	9327
296	3934	9314
297	3946	9295
298	3957	9279
299	3969	9261
300	3980	9244
301	3992	9227
302	4003	9209
303	4013	9189
304	4025	9173
305	4037	9156
306	4050	9143
307	4063	9130
308	4075	9114
309	4087	9097
310	4099	9083
311	4111	9065
312	4122	9049
313	4136	9036
314	4148	9021
315	4161	9007
316	4171	8988
317	4183	8972
318	4195	8956
319	4208	8942
320	4220	8927
321	4233	8913
322	4243	8893
323	4254	8877
324	4267	8863
325	4280	8850
326	4292	8833
327	4305	8821
328	4316	8803
329	4330	8791
330	4343	8777
331	4355	8762
332	4368	8750
333	4380	8735
334	4390	8715
335	4403	8701
336	4416	8687
337	4427	8671
338	4439	8655
339	4451	8641
340	4463	8625
341	4474	8608
342	4486	8592
343	4497	8576
344	4509	8560
345	4520	8544
346	4531	8527
347	4545	8517
348	4557	8501
349	4569	8486
350	4582	8472
351	4595	8460
352	4608	8445
353	4619	8429
354	4631	8414
355	4642	8397
356	4654	8383
357	4666	8369
358	4678	8353
359	4689	8337
360	4702	8323
361	4712	8306
362	4724	8290
363	4738	8279
364	4750	8265
365	4762	8249
366	4772	8231
367	4783	8215
368	4795	8199
369	4806	8183
370	4818	8169
371	4830	8154
372	4841	8138
373	4853	8123
374	4864	8107
375	4876	8092
376	4887	8076
377	4899	8061
378	4911	8047
379	4924	8034
380	4936	8020
381	4950	8009
382	4962	7995
383	4973	7978
384	4985	7963
385	4996	7948
386	5008	7933
387	5020	7918
388	5032	7903
389	5044	7889
390	5055	7874
391	5065	7857
392	5076	7840
393	5087	7825
394	5099	7811
395	5111	7796
396	5123	7781
397	5135	7767
398	5147	7753
399	5160	7740
400	5172	7727
401	5184	7711
402	5196	7697
403	5207	7682
404	5219	7668
405	5230	7651
406	5240	7634
407	5250	7618
408	5262	7603
409	5273	7589
410	5286	7576
411	5297	7560
412	5309	7546
413	5321	7532
414	5331	7515
415	5342	7500
416	5355	7486
417	5369	7475
418	5382	7463
419	5393	7447
420	5406	7435
421	5418	7421
422	5430	7407
423	5442	7393
424	5454	7380
425	5466	7366
426	5477	7350
427	5489	7336
428	5500	7321
429	5513	7308
430	5525	7294
431	5538	7282
432	5550	7267
433	5561	7253
434	5574	7239
435	5587	7228
436	5600	7214
437	5611	7200
438	5622	7185
439	5635	7171
440	5646	7157
441	5657	7142
442	5669	7128
443	5681	7114
444	5693	7101
445	5705	7087
446	5717	7072
447	5729	7059
448	5741	7045
449	5752	7031
450	5764	7016
451	5775	7002
452	5789	6991
453	5801	6977
454	5814	6964
455	5826	6951
456	5838	6936
457	5851	6924
458	5864	6911
459	5876	6899
460	5889	6886
461	5902	6872
462	5914	6859
463	5928	6848
464	5943	6838
465	5956	6826
466	5971	6815
467	5986	6805
468	6000	6794
469	6012	6780
470	6024	6766
471	6039	6755
472	6052	6743
473	6067	6733
474	6082	6722
475	6098	6713
476	6112	6702
477	6126	6690
478	6139	6677
479	6151	6664
480	6165	6652
481	6178	6639
482	6192	6628
483	6206	6616
484	6219	6604
485	6233	6592
486	6246	6580
487	6258	6566
488	6270	6552
489	6282	6539
490	6294	6525
491	6307	6512
492	6318	6498
493	6331	6485
494	6344	6472
495	6355	6458
496	6367	6444
497	6378	6430
498	6390	6416
499	6405	6405
500	6419	6393
501	6431	6380
502	6443	6366
503	6455	6353
504	6466	6338
505	6476	6323
506	6488	6309
507	6501	6296
508	6514	6283
509	6526	6270
510	6538	6256
511	6550	6243
512	6562	6230
513	6575	6216
514	6588	6204
515	6606	6196
516	6617	6182
517	6633	6172
518	6646	6159
519	6659	6146
520	6671	6133
521	6684	6120
522	6696	6107
523	6709	6094
524	6720	6080
525	6733	6067
526	6746	6055
527	6759	6042
528	6772	6029
529	6785	6017
530	6798	6004
531	6813	5994
532	6826	5981
533	6839	5968
534	6852	5956
535	6867	5944
536	6882	5933
537	6896	5922
538	6913	5912
539	6929	5902
540	6944	5892
541	6960	5881
542	6976	5871
543	6990	5859
544	7002	5846
545	7017	5834
546	7030	5822
547	7047	5812
548	7062	5801
549	7077	5790
550	7092	5779
551	7106	5767
552	7122	5756
553	7136	5745
554	7151	5733
555	7166	5722
556	7180	5710
557	7195	5699
558	7211	5688
559	7227	5678
560	7244	5668
561	7260	5658
562	7277	5648
563	7292	5637
564	7308	5626
565	7324	5616
566	7340	5605
567	7356	5594
568	7370	5582
569	7387	5573
570	7404	5563
571	7422	5553
572	7439	5543
573	7458	5535
574	7475	5525
575	7493	5516
576	7510	5505
577	7525	5494
578	7541	5483
579	7556	5472
580	7571	5460
581	7584	5447
582	7599	5435
583	7613	5423
584	7628	5411
585	7643	5400
586	7658	5388
587	7675	5378
588	7691	5367
589	7707	5356
590	7722	5344
591	7738	5333
592	7755	5322
593	7774	5313
594	7790	5303
595	7806	5291
596	7823	5281
597	7842	5271
598	7859	5261
599	7875	5250
600	7891	5239
601	7906	5227
602	7923	5216
603	7941	5206
604	7963	5199
605	7979	5187
606	7993	5175
607	8008	5163
608	8023	5151
609	8039	5139
610	8057	5129
611	8075	5120
612	8091	5108
613	8106	5096
614	8122	5085
615	8138	5073
616	8152	5060
617	8167	5048
618	8183	5037
619	8199	5025
620	8215	5014
621	8231	5002
622	8245	4989
623	8259	4976
624	8275	4965
625	8291	4953
626	8305	4940
627	8319	4928
628	8334	4915
629	8348	4903
630	8365	4891
631	8384	4882
632	8402	4871
633	8421	4861
634	8440	4851
635	8459	4841
636	8481	4833
637	8500	4823
638	8516	4811
639	8533	4800
640	8551	4789
641	8571	4779
642	8589	4769
643	8609	4759
644	8625	4747
645	8642	4735
646	8661	4725
647	8679	4714
648	8693	4701
649	8711	4690
650	8728	4679
651	8742	4666
652	8756	4653
653	8769	4639
654	8784	4627
655	8801	4615
656	8814	4601
657	8830	4589
658	8844	4576
659	8859	4563
660	8876	4552
661	8892	4540
662	8906	4527
663	8923	4515
664	8939	4503
665	8958	4492
666	8980	4483
667	8998	4472
668	9011	4458
669	9029	4447
670	9043	4434
671	9061	4422
672	9080	4412
673	9101	4402
674	9121	4391
675	9140	4381
676	9158	4369
677	9175	4357
678	9195	4347
679	9213	4335
680	9228	4323
681	9243	4309
682	9258	4297
683	9276	4285
684	9291	4272
685	9311	4261
686	9331	4251
687	9348	4239
688	9368	4228
689	9384	4216
690	9399	4203
691	9417	4191
692	9434	4179
693	9449	4166
694	9464	4153
695	9481	4141
696	9497	4128
697	9513	4116
698	9528	4103
699	9543	4090
700	9558	4077
701	9574	4064
702	9588	4050
703	9603	4037
704	9619	4025
705	9633	4011
706	9649	3998
707	9663	3985
708	9680	3973
709	9694	3959
710	9709	3946
711	9723	3933
712	9739	3920
713	9753	3906
714	9768	3893
715	9782	3880
716	9798	3867
717	9813	3854
718	9829	3841
719	9844	3828
720	9859	3815
721	9877	3803
722	9892	3790
723	9907	3776
724	9921	3763
725	9936	3749
726	9950	3736
727	9964	3723
728	9979	3709
729	9995	3697
730	10010	3683
731	10028	3671
732	10044	3658
733	10058	3645
734	10073	3632
735	10090	3619
736	10108	3607
737	10122	3593
738	10135	3579
739	10150	3566
740	10165	3553
741	10179	3539
742	10193	3525
743	10206	3511
744	10221	3498
745	10236	3485
746	10252	3472
747	10270	3460
748	10288	3447
749	10309	3436
750	10332	3425
751	10348	3412
752	10367	3400
753	10387	3389
754	10407	3377
755	10426	3365
756	10445	3352
757	10464	3340
758	10488	3330
759	10513	3320
760	10539	3310
761	10559	3298
762	10573	3284
763	10587	3270
764	10606	3258
765	10622	3245
766	10640	3232
767	10656	3219
768	10671	3205
769	10687	3192
770	10705	3179
771	10720	3166
772	10734	3152
773	10750	3138
774	10763	3124
775	10779	3111
776	10794	3097
777	10808	3084
778	10824	3070
779	10840	3057
780	10856	3044
781	10872	3030
782	10890	3018
783	10907	3005
784	10925	2992
785	10940	2978
786	10957	2965
787	10974	2952
788	10990	2939
789	11006	2925
790	11024	2912
791	11042	2899
792	11057	2886
793	11072	2872
794	11087	2859
795	11109	2847
796	11128	2834
797	11143	2820
798	11158	2807
799	11173	2793
800	11189	2780
801	11206	2766
802	11222	2753
803	11236	2739
804	11250	2725
805	11265	2711
806	11281	2698
807	11297	2684
808	11311	2670
809	11327	2657
810	11344	2643
811	11358	2629
812	11371	2615
813	11386	2601
814	11401	2588
815	11417	2574
816	11430	2560
817	11444	2546
818	11458	2532
819	11471	2518
820	11485	2504
821	11499	2490
822	11515	2476
823	11529	2462
824	11541	2448
825	11556	2434
826	11570	2420
827	11585	2406
828	11599	2392
829	11614	2378
830	11629	2365
831	11643	2351
832	11656	2336
833	11670	2322
834	11684	2308
835	11697	2294
836	11716	2281
837	11730	2267
838	11743	2253
839	11757	2239
840	11772	2225
841	11787	2211
842	11801	2197
843	11817	2184
844	11830	2170
845	11845	2156
846	11861	2142
847	11875	2128
848	11888	2114
849	11904	2100
850	11920	2087
851	11935	2073
852	11950	2059
853	11964	2045
854	11977	2031
855	11992	2017
856	12005	2003
857	12021	1989
858	12038	1976
859	12053	1962
860	12067	1948
861	12081	1934
862	12095	1920
863	12108	1905
864	12123	1892
865	12137	1878
866	12152	1864
867	12166	1850
868	12180	1836
869	12194	1822
870	12207	1808
871	12221	1793
872	12234	1779
873	12249	1765
874	12263	1751
875	12275	1737
876	12288	1723
877	12302	1709
878	12318	1695
879	12333	1681
880	12349	1668
881	12362	1654
882	12376	1639
883	12390	1625
884	12404	1611
885	12419	1598
886	12435	1584
887	12449	1570
888	12464	1556
889	12478	1542
890	12492	1528
891	12506	1514
892	12521	1500
893	12537	1486
894	12552	1472
895	12567	1458
896	12581	1444
897	12594	1430
898	12609	1416
899	12625	1402
900	12638	1388
901	12651	1374
902	12665	1360
903	12678	1346
904	12691	1332
905	12706	1318
906	12720	1304
907	12735	1290
908	12750	1276
909	12765	1262
910	12778	1248
911	12793	1234
912	12807	1220
913	12821	1206
914	12833	1192
915	12847	1178
916	12860	1164
917	12874	1149
918	12888	1135
919	12901	1121
920	12915	1107
921	12931	1094
922	12945	1079
923	12959	1065
924	12972	1051
925	12985	1037
926	12998	1023
927	13012	1009
928	13026	995
929	13039	981
930	13053	967
931	13067	953
932	13080	939
933	13093	925
934	13111	911
935	13125	897
936	13141	883
937	13157	869
938	13170	855
939	13185	841
940	13198	827
941	13211	813
942	13223	799
943	13237	785
944	13250	771
945	13263	757
946	13277	743
947	13290	729
948	13305	715
949	13318	700
950	13331	686
951	13345	672
952	13360	658
953	13374	644
954	13387	630
955	13401	616
956	13414	602
957	13428	588
958	13442	574
959	13457	560
960	13471	546
961	13484	532
962	13496	518
963	13509	504
964	13521	490
965	13536	476
966	13551	462
967	13566	448
968	13580	434
969	13592	420
970	13606	406
971	13619	392
972	13632	378
973	13646	364
974	13660	350
975	13674	336
976	13689	322
977	13703	308
978	13717	294
979	13729	280
980	13744	266
981	13759	252
982	13776	238
983	13789	224
984	13803	210
985	13818	196
986	13830	182
987	13845	168
988	13858	154
989	13872	140
990	13885	126
991	13899	112
992	13912	98
993	13925	84
994	13939	70
995	13951	56
996	13964	42
997	13980	28
998	13994	14
999	14007	0
